nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
Number of transactions for share count >100 or amount over 1000.,abstract,Line,TRANSACTIONS,tracking_share_transactions,mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count > 100 or amount_of_transaction > 1000 bin x by year,"date_of_transaction,share_count,amount_of_transaction",share_count > 100 or amount_of_transaction > 1000,count date_of_transaction,line,"x=date_of_transaction,y=count date_of_transaction,color=none,size=none",none
Show how many transactions of type "SALE" were made by plotting their dates on a line chart.,abstract,Line,TRANSACTIONS,tracking_share_transactions,mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter transaction_type_code = "sale" bin x by year,"date_of_transaction,transaction_type_code",transaction_type_code = "SALE",count date_of_transaction,line,"x=date_of_transaction,y=count date_of_transaction,color=none,size=none",none
"Count the number of transactions with a share count of less than 10, divided by year, and plot it in a line chart.",abstract,Line,TRANSACTIONS,tracking_share_transactions,mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count < 10 bin x by year,"date_of_transaction,share_count",share_count < 10,count date_of_transaction,line,"x=date_of_transaction,y=count date_of_transaction,color=none,size=none",none
Show me a line chart of transactions by weekdays.,abstract,Line,TRANSACTIONS,tracking_share_transactions,mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform bin x by year,date_of_transaction,none,count date_of_transaction,line,"x=date_of_transaction,y=count date_of_transaction,color=none,size=none",none
Number of churches over time.,abstract,Line,Church,wedding,mark line data church encoding x open_date y aggregate count open_date transform group x,Open_Date,none,count Open_Date,line,"x=Open_Date,y=count Open_Date,color=none,size=none",none
Show price/year trend.,abstract,Line,WINE,wine_1,mark line data wine encoding x year y aggregate max price transform group x,"Year,Price",none,max Price,line,"x=Year,y=max Price,color=none,size=none",none
Show me the highest score of each year on a line chart.,abstract,Line,WINE,wine_1,mark line data wine encoding x year y aggregate max score transform group x,"Year,Score",none,max Score,line,"x=Year,y=max Score,color=none,size=none",none
Plot a graph of average prices for different wines.,abstract,Line,WINE,wine_1,mark line data wine encoding x year y aggregate mean price transform group x,"Year,Price",none,mean Price,line,"x=Year,y=mean Price,color=none,size=none",none
Plot the variation of monthly_rental grouped by other_details over time.,abstract,Grouping Line,Student_Addresses,behavior_monitoring,mark line data student_addresses encoding x date_address_to y aggregate mean monthly_rental color other_details transform group x sort monthly_rental desc,"date_address_to,monthly_rental,other_details",none,mean monthly_rental,line,"x=date_address_to,y=mean monthly_rental,color=other_details,size=none",none
"Can you show us a visual representation of how the rental amount changed, grouped by type of housing?",abstract,Grouping Line,Student_Addresses,behavior_monitoring,mark line data student_addresses encoding x date_address_to y aggregate count date_address_to color other_details transform group x sort monthly_rental desc,"date_address_to,other_details",none,count date_address_to,line,"x=date_address_to,y=count date_address_to,color=other_details,size=none",none
"Show the change of total monthly rental, group by other details.",abstract,Grouping Line,Student_Addresses,behavior_monitoring,mark line data student_addresses encoding x date_address_to y aggregate sum monthly_rental color other_details transform group x sort monthly_rental desc,"date_address_to,monthly_rental,other_details",none,sum monthly_rental,line,"x=date_address_to,y=sum monthly_rental,color=other_details,size=none",none
Compare student_id against monthly_rental with other_details.,abstract,Grouping Scatter,Student_Addresses,behavior_monitoring,mark point data student_addresses encoding x student_id y aggregate none monthly_rental transform group other_details sort y desc,"student_id,monthly_rental,other_details",none,none,point,"x=student_id,y=monthly_rental,color=other_details,size=none",none
Do the student id and address id have any connection? group them by other_details.,abstract,Grouping Scatter,Student_Addresses,behavior_monitoring,mark point data student_addresses encoding x student_id y aggregate none address_id transform group other_details sort monthly_rental desc,"student_id,address_id,other_details",none,none,point,"x=student_id,y=address_id,color=other_details,size=none",none
Plot the association between address id and monthly rental divided by other details.,abstract,Grouping Scatter,Student_Addresses,behavior_monitoring,mark point data student_addresses encoding x address_id y aggregate none monthly_rental transform group other_details sort y desc,"address_id,monthly_rental,other_details",none,none,point,"x=address_id,y=monthly_rental,color=other_details,size=none",none
"Plot relationship between people id and height, grouped by sex.",abstract,Grouping Scatter,people,candidate_poll,mark point data people encoding x people_id y aggregate none height transform group sex,"People_ID,Height,Sex",none,none,point,"x=People_ID,y=Height,color=Sex,size=none",none
What's the relationship between Height and Weight for different sexes?,abstract,Grouping Scatter,people,candidate_poll,mark point data people encoding x height y aggregate none weight transform group sex,"Height,Weight,Sex",none,none,point,"x=Height,y=Weight,color=Sex,size=none",none
Scatter the relationship between age and the time of purchase for each member.,abstract,Grouping Scatter,member,coffee_shop,mark point data member encoding x time_of_purchase y aggregate none age transform group address sort x,"Time_of_purchase,Age,Address",none,none,point,"x=Time_of_purchase,y=Age,color=Address,size=none",none
Show me version numbers and template ids for each template.,abstract,Grouping Scatter,Templates,cre_Doc_Template_Mgt,mark point data templates encoding x template_id y aggregate none version_number transform group template_type_code,"Template_ID,Version_Number,Template_Type_Code",none,none,point,"x=Template_ID,y=Version_Number,color=Template_Type_Code,size=none",none
What information can I get from the customer cards?,abstract,Grouping Scatter,Customers_cards,customers_card_transactions,mark point data customers_cards encoding x card_id y aggregate none card_number transform group card_type_code,"card_id,card_number,card_type_code",none,none,point,"x=card_id,y=card_number,color=card_type_code,size=none",none
Create a scatterplot showing card_number in comparison to customer_id grouped by card_type_code.,abstract,Grouping Scatter,Customers_cards,customers_card_transactions,mark point data customers_cards encoding x customer_id y aggregate none card_number transform group card_type_code,"customer_id,card_number,card_type_code",none,none,point,"x=customer_id,y=card_number,color=card_type_code,size=none",none
"Price 60-120, code/price correlation, group by name.",abstract,Grouping Scatter,products,manufactory_1,mark point data products encoding x code y aggregate none price transform filter price between 60 and 120 group name,"Code,Price,Name",Price >= 60 and Price <= 120,none,point,"x=Code,y=Price,color=Name,size=none",none
"Can you show me a scatter chart of the correlation between code and manufacturer grouped by product name, for the items with prices between 60 and 120?",abstract,Grouping Scatter,products,manufactory_1,mark point data products encoding x code y aggregate none manufacturer transform filter price between 60 and 120 group name,"Code,Manufacturer,Name,Price",Price >= 60 and Price <= 120,none,point,"x=Code,y=Manufacturer,color=Name,size=none",none
Show the distribution of manufacturers according to the prices between 60 and 120 of the different products.,abstract,Grouping Scatter,products,manufactory_1,mark point data products encoding x price y aggregate none manufacturer transform filter price between 60 and 120 group name,"Price,Manufacturer,Name",Price >= 60 and Price <= 120,none,point,"x=Price,y=Manufacturer,color=Name,size=none",none
Visualize the distribution of monthly rent by detail.,abstract,Stacked Bar,Student_Addresses,behavior_monitoring,mark bar data student_addresses encoding x date_address_to y aggregate count date_address_to color other_details transform sort monthly_rental desc bin x by month,"date_address_to,other_details",none,count date_address_to,bar,"x=date_address_to,y=count date_address_to,color=other_details,size=none",none
Can you show me the relationship between the address from and the monthly rental color by other details?,abstract,Stacked Bar,Student_Addresses,behavior_monitoring,mark bar data student_addresses encoding x date_address_from y aggregate sum monthly_rental color other_details transform sort monthly_rental desc bin x by year,"date_address_from,monthly_rental,other_details",none,sum monthly_rental,bar,"x=date_address_from,y=sum monthly_rental,color=other_details,size=none",none
"Show me the average monthly rental and date_address_from, grouped by the other details.",abstract,Stacked Bar,Student_Addresses,behavior_monitoring,mark bar data student_addresses encoding x date_address_from y aggregate mean monthly_rental color other_details transform sort monthly_rental desc bin x by year,"date_address_from,monthly_rental,other_details",none,mean monthly_rental,bar,"x=date_address_from,y=mean monthly_rental,color=other_details,size=none",none
"Headquarters vs Industry, stack bar chart.",abstract,Stacked Bar,company,company_employee,mark bar data company encoding x headquarters y aggregate count headquarters color industry transform group x,"Headquarters,Industry",none,count headquarters,bar,"x=Headquarters,y=count Headquarters,color=Industry,size=none",none
Show distribution of home team and away team.,abstract,Stacked Bar,game,game_injury,mark bar data game encoding x home_team y aggregate count home_team color away_team transform group x,"Home_team,Away_team",none,count home_team,bar,"x=Home_team,y=count Home_team,color=Away_team,size=none",none
took office for each minister.,abstract,Stacked Bar,party,party_people,mark bar data party encoding x took_office y aggregate count took_office color minister transform bin x by year,"Took_office,Minister",none,count took_office,bar,"x=Took_office,y=count Took_office,color=Minister,size=none",none
Show nationalities and types.,abstract,Stacked Bar,ship,ship_mission,mark bar data ship encoding x nationality y aggregate count nationality color type transform group x,"Nationality,Type",none,count nationality,bar,"x=Nationality,y=count Nationality,color=Type,size=none",none
Show me the tonnage of different ship types grouped by nationality.,abstract,Stacked Bar,ship,ship_mission,mark bar data ship encoding x type y aggregate count type color nationality transform group x,"Type,Nationality",none,count type,bar,"x=Type,y=count Type,color=Nationality,size=none",none
"Number of competitions in each country, divided by type.",abstract,Stacked Bar,competition,sports_competition,mark bar data competition encoding x country y aggregate count country color competition_type transform group x,"Country,Competition_type",none,count country,bar,"x=Country,y=count Country,color=Competition_type,size=none",none
How many exhibitions have been held each year based on the theme?,abstract,Stacked Bar,exhibition,theme_gallery,mark bar data exhibition encoding x year y aggregate count year transform group theme,"Year,Theme",none,count year,bar,"x=Year,y=count Year,color=Theme,size=none",none
Show how people id and weight are related.,abstract,Scatter,people,candidate_poll,mark point data people encoding x people_id y aggregate none weight,"People_ID,Weight",none,none,point,"x=People_ID,y=Weight,color=none,size=none",none
Correlation between People_ID & Height in a chart.,abstract,Scatter,people,candidate_poll,mark point data people encoding x people_id y aggregate none height,"People_ID,Height",none,none,point,"x=People_ID,y=Height,color=none,size=none",none
Are heavier people taller?,abstract,Scatter,people,candidate_poll,mark point data people encoding x height y aggregate none weight,"Height,Weight",none,none,point,"x=Height,y=Weight,color=none,size=none",none
Is builder id and  clean jerk correlated?,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x body_builder_id y aggregate none clean_jerk,"Body_Builder_ID,Clean_Jerk",none,none,point,"x=Body_Builder_ID,y=Clean_Jerk,color=none,size=none",none
Snatch vs. Total.,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none total,"Snatch,Total",none,none,point,"x=Snatch,y=Total,color=none,size=none",none
show people_id and snatch.,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x people_id y aggregate none snatch,"People_ID,Snatch",none,none,point,"x=People_ID,y=Snatch,color=none,size=none",none
People_ID & Clean_Jerk relationship.,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x people_id y aggregate none clean_jerk,"People_ID,Clean_Jerk",none,none,point,"x=People_ID,y=Clean_Jerk,color=none,size=none",none
Generate a scatter plot which shows the correlation between support rate and oppose rate.,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x support_rate y aggregate none oppose_rate,"Support_rate,Oppose_rate",none,none,point,"x=Support_rate,y=Oppose_rate,color=none,size=none",none
Compare support rate to consider rate.,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x support_rate y aggregate none consider_rate,"Support_rate,Consider_rate",none,none,point,"x=Support_rate,y=Consider_rate,color=none,size=none",none
Will the instructor affect credits?,abstract,Scatter,COURSE,college_3,mark point data course encoding x credits y aggregate none instructor,"Credits,Instructor",none,none,point,"x=Credits,y=Instructor,color=none,size=none",none
show grade numbers and classrooms.,abstract,Scatter,list,student_1,mark point data list encoding x classroom y aggregate none grade,"Classroom,Grade",none,none,point,"x=Classroom,y=Grade,color=none,size=none",none
A pie chart showing the number of faculty members for each rank.,original,Pie,Faculty,activity_1,mark arc data faculty encoding x rank y aggregate count rank transform group x,Rank,none,count Rank,arc,"x=Rank,y=count Rank,color=none,size=none",none
"Show the number of male and female assistant professors with a bar chart, and list the y-axis in ascending order.",original,Bar,Faculty,activity_1,mark bar data faculty encoding x sex y aggregate count sex transform filter rank = "asstprof" group x sort y asc,"Sex,Rank",Rank = "AsstProf",count Sex,bar,"x=Sex,y=count Sex,color=none,size=none",y asc
Show all the ranks and the number of male and female faculty for each rank in a bar chart.,original,Stacked Bar,Faculty,activity_1,mark bar data faculty encoding x rank y aggregate count rank color sex transform group x,"Rank,Sex",none,count Rank,bar,"x=Rank,y=count Rank,color=Sex,size=none",none
A pie chart for listing the number of the description of all aircraft.,original,Pie,aircraft,aircraft,mark arc data aircraft encoding x description y aggregate count description transform group x,Description,none,count Description,arc,"x=Description,y=count Description,color=none,size=none",none
"A bar chart for listing the number of the description of all aircraft, and order bars in ascending order.",original,Bar,aircraft,aircraft,mark bar data aircraft encoding x description y aggregate count description transform group x sort x asc,Description,none,count Description,bar,"x=Description,y=count Description,color=none,size=none",x asc
"For those female students with age is older than 18 who are not majoring in 600, tell me how many students of different first names using a bar chart, display in asc by the how many frames.",original,Bar,Student,restaurant_1,mark bar data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x sort y asc,"Fname,Age,Major,Sex",Age > 18 and Major != 600 and Sex = 'F',count Fname,bar,"x=Fname,y=count Fname,color=none,size=none",y asc
A bar chart about the number of last names for all female students whose sex is F.,original,Bar,Student,allergy_1,mark bar data student encoding x lname y aggregate count lname transform filter sex = 'f' group x,"LName,Sex",Sex = 'F',count LName,bar,"x=LName,y=count LName,color=none,size=none",none
"For those female students with age is older than 18 who are not majoring in 600, visualize the proportion of students' first names with a pie chart.",original,Pie,Student,restaurant_1,mark arc data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x,"Fname,Age,Major,Sex",Age > 18 and Major != 600 and Sex = 'F',count Fname,arc,"x=Fname,y=count Fname,color=none,size=none",none
"Show all allergy types and the number of allergies in each type in a bar chart, and show in descending by the total number, please.",original,Bar,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x sort y desc,AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none,size=none",y desc
Show the number of each allergy type in a bar chart.,original,Bar,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none,size=none",none
Show the number of each allergy type in a pie chart.,original,Pie,Allergy_type,allergy_1,mark arc data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,none,count AllergyType,arc,"x=AllergyType,y=count AllergyType,color=none,size=none",none
How are the apartments grouped by type?,original,Pie,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x sort y asc,apt_type_code,none,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none,size=none",y asc
"Show me a bar chart for how many bookings each booking status has. List the booking status code and the number of corresponding bookings, I want to order the total number in desc order.",original,Bar,Apartment_Bookings,apartment_rentals,mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x sort y desc,booking_status_code,none,count booking_status_code,bar,"x=booking_status_code,y=count booking_status_code,color=none,size=none",y desc
Show the booking status code and the corresponding number of bookings by a pie chart.,original,Pie,Apartment_Bookings,apartment_rentals,mark arc data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x,booking_status_code,none,count booking_status_code,arc,"x=booking_status_code,y=count booking_status_code,color=none,size=none",none
"Show the number of assets and group by asset make in a bar chart, show Y in desc order.",original,Bar,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x sort y desc,asset_make,none,count asset_make,bar,"x=asset_make,y=count asset_make,color=none,size=none",y desc
Show the number of assets and group by asset made in a bar chart.,original,Bar,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x,asset_make,none,count asset_make,bar,"x=asset_make,y=count asset_make,color=none,size=none",none
Show me a line chart for how many players enter the Hall of Fame each year.,original,Line,hall_of_fame,baseball_1,mark line data hall_of_fame encoding x yearid y aggregate count yearid transform group x,yearid,none,count yearid,line,"x=yearid,y=count yearid,color=none,size=none",none
"Show a bar chart about the number of results of the battles when the Bulgarian commander is not 'Boril', and I want to rank by the bars in asc.",original,Bar,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x sort x asc,"result,bulgarian_commander",bulgarian_commander != 'Boril',count result,bar,"x=result,y=count result,color=none,size=none",x asc
A pie chart showing the number of results of the battles when the Bulgarian commander is not 'Boril'.,original,Pie,battle,battle_death,mark arc data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x,"result,bulgarian_commander",bulgarian_commander != 'Boril',count result,arc,"x=result,y=count result,color=none,size=none",none
Find the number of last names of teachers in alphabetical order of last name with a bar chart.,original,Bar,Teachers,behavior_monitoring,mark bar data teachers encoding x last_name y aggregate count last_name transform group x sort x,last_name,none,count last_name,bar,"x=last_name,y=count last_name,color=none,size=none",none
A bar chart about the number of end dates for incidents with incident type code "NOISE"?,original,Bar,Behavior_Incident,behavior_monitoring,mark bar data behavior_incident encoding x date_incident_end y aggregate count date_incident_end transform filter incident_type_code = "noise" group x,"date_incident_end,incident_type_code",incident_type_code = "NOISE",count date_incident_end,bar,"x=date_incident_end,y=count date_incident_end,color=none,size=none",none
"For all train stations not in London with a pie chart, show me the proportion of total passengers of different names.",original,Pie,station,train_station,mark arc data station encoding x name y aggregate none total_passengers transform filter location != 'london',"Name,Total_Passengers,Location",Location != 'London',none,arc,"x=Name,y=Total_Passengers,color=none,size=none",none
"Bar chart x-axis location y-axis total passengers, and sort by the total number in desc.",original,Bar,station,train_station,mark bar data station encoding x location y aggregate sum total_passengers transform group x sort y desc,"Location,Total_Passengers",none,sum Total_Passengers,bar,"x=Location,y=sum Total_Passengers,color=none,size=none",y desc
Show the number of stations installed change over the installation date of in station table using a line chart.,original,Line,station,bike_1,mark line data station encoding x installation_date y aggregate count installation_date transform group x,installation_date,none,count installation_date,line,"x=installation_date,y=count installation_date,color=none,size=none",none
"For each location, give me a scatter chart showing the relationships between the number of total passengers and the number of platforms.",original,Grouping Scatter,station,train_station,mark point data station encoding x sum(number_of_platforms) y aggregate sum total_passengers transform group location,"Number_of_Platforms,Total_Passengers,Location",none,"sum Number_of_Platforms,sum Total_Passengers",point,"x=sum Number_of_Platforms,y=sum Total_Passengers,color=Location,size=none",none
Stacked bar of services and how many services are colored by local_authority.,original,Stacked Bar,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",none,count services,bar,"x=services,y=count services,color=local_authority,size=none",none
Visualize a bar chart for what are the IDs and names of all start stations that were the beginning of at least 200 trips. Could you rank in ascending by the total number?,original,Bar,trip,bike_1,mark bar data trip encoding x start_station_name y aggregate none start_station_id transform sort y asc,"start_station_name,start_station_id",none,none,bar,"x=start_station_name,y=start_station_id,color=none,size=none",y asc
"A bar chart showing the average weight for each gender, ranked in desc by the x-axis.",original,Bar,people,candidate_poll,mark bar data people encoding x sex y aggregate mean weight transform group x sort x desc,"Sex,Weight",none,mean Weight,bar,"x=Sex,y=mean Weight,color=none,size=none",x desc
"Count the number of people of each sex who have a weight higher than 85 by a bar chart, and I want to order by the X in asc.",original,Bar,people,candidate_poll,mark bar data people encoding x sex y aggregate count sex transform filter weight > 85 group x sort x asc,"Sex,Weight",Weight > 85,count Sex,bar,"x=Sex,y=count Sex,color=none,size=none",x asc
A pie chart showing the average weight for each gender.,original,Pie,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",none,mean Weight,arc,"x=Sex,y=mean Weight,color=none,size=none",none
What is the proportion of average weights for each sex?,original,Pie,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",none,mean Weight,arc,"x=Sex,y=mean Weight,color=none,size=none",none
Give me a pie to show the average of weight different sexes.,original,Pie,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",none,mean Weight,arc,"x=Sex,y=mean Weight,color=none,size=none",none
List the snatch score and clean jerk score of bodybuilders of snatch score in a scatter chart.,original,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none,size=none",none
List the snatch score and clean jerk score of bodybuilders of snatch score. Plot them as a scatter chart.,original,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none,size=none",none
Scatter plot to show snatch on the x-axis and clean_jerk on the y-axis.,original,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none,size=none",none
Show different publishers together with the number of publications they have in a bar chart.,original,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none,size=none",none
Show different publishers together with the number of publications they have. Plot them as a bar chart.,original,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none,size=none",none
Draw a bar chart of the publisher versus the total number.,original,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none,size=none",none
"Show different publishers together with the number of publications they have Plot them as a bar chart, and I want to order by the bars in asc.",original,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x sort x asc,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none,size=none",x asc
"List the writers of the books in ascending alphabetical order, and count them by a bar chart.",original,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x sort x asc,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none,size=none",x asc
A bar chart for listing the number of the writers of the books in ascending alphabetical order.,original,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x sort x asc,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none,size=none",x asc
List the number of the writers of the books in ascending alphabetical order.,original,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x sort x asc,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none,size=none",x asc
Find the number of web accelerators used for each Operating system.,original,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none,size=none",none
Draw a bar chart of the operating system versus the total number.,original,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none,size=none",none
"Draw a bar chart of the operating system versus the total number, and list from low to high by the X-axis.",original,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x sort x asc,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none,size=none",x asc
"Find the number of web accelerators used for each Operating system, I want to display in ascending by the X.",original,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x sort x asc,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none,size=none",x asc
A scatter showing the correlation between consider and oppose rates for each candidate.,original,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none,size=none",none
What is the relationship between consider and oppose rates of each candidate?,original,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none,size=none",none
Scatter plot to show consider rate on the x-axis and oppose_rate on the y-axis.,original,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none,size=none",none
What is the maximum acceleration for different numbers of cylinders?,original,Scatter,CARS_DATA,car_1,mark point data cars_data encoding x max(accelerate) y aggregate none cylinders,"Accelerate,Cylinders",none,max Accelerate,point,"x=max Accelerate,y=Cylinders,color=none,size=none",none
"What is the number of the phone numbers for each employee? Sort by the x-axis in asc, please.",original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x sort x asc,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",x asc
"Plot the number of phones by grouping them by phone as a bar graph, and could you list X in asc order, please?",original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x sort x asc,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",x asc
"List the number of the phone numbers of all employees, list in asc by the names, please.",original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x sort x asc,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",x asc
A bar chart for listing the number of the phone numbers of all employees.,original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
What are the number of the phone numbers for each employee?,original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
A bar chart for what are the number of the phone numbers for each employee?,original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
List the number of the phone numbers of all employees.,original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
"What are the phone numbers for each employee, and count them by a bar chart?",original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
"List the phone numbers of all employees, and count them by a bar chart.",original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
Plot the number of phones grouped by phone as a bar graph.,original,Bar,EMPLOYEE,chinook_1,mark bar data employee encoding x phone y aggregate count phone transform group x,Phone,none,count Phone,bar,"x=Phone,y=count Phone,color=none,size=none",none
"The bar graph shows the number of directed by from different directed by, showing Y from high to low order.",original,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none,size=none",y desc
"What is the number of films of each director? Return a bar chart, and list the y-axis from high to low order.",original,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none,size=none",y desc
"Give me a bar chart showing the number of films for each director, and I want to list the total number from high to low order, please.",original,Bar,film,cinema,mark bar data film encoding x directed_by y aggregate count directed_by transform group x sort y desc,Directed_by,none,count Directed_by,bar,"x=Directed_by,y=count Directed_by,color=none,size=none",y desc
List the studios of each film and the number of films produced by that studio. Show bar chart.,original,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none,size=none",none
Visualize a bar chart for how films are produced by each studio.,original,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none,size=none",none
A bar chart about how films are produced by each studio.,original,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none,size=none",none
How many films are produced by each studio? Show bar chart.,original,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none,size=none",none
Show me the total number by studio in a histogram.,original,Bar,film,film_rank,mark bar data film encoding x studio y aggregate count studio transform group x,Studio,none,count Studio,bar,"x=Studio,y=count Studio,color=none,size=none",none
